text,intent
Schedule a visit to the dermatologist,appointment_booking
Give me a healthy diet for hypertension,diet_advice
What's the dose for ibuprofen?,medication_info
Give me a healthy diet for pregnancy,diet_advice
Emergency! My friend is chest pain,emergency_help
Suggest foods for hypertension,diet_advice
"Can't breathe properly, urgent help",emergency_help
I want to meet a general physician this week,appointment_booking
Give me a healthy diet for anemia,diet_advice
Suggest foods for obesity,diet_advice
My father has a sore throat,symptom_check
Suggest foods for obesity,diet_advice
Can I take paracetamol with paracetamol?,medication_info
"Severe nausea, what to do?",emergency_help
I want to meet a neurologist this week,appointment_booking
What should I take for cough?,medication_info
Is it safe to use ibuprofen every day?,medication_info
What's the dose for paracetamol?,medication_info
My mother has a fever,symptom_check
What should a anemia patient eat?,diet_advice
I have a dizziness and dizziness,symptom_check
Is it safe to use aspirin every day?,medication_info
What's the dose for amoxicillin?,medication_info
I'm having a difficulty breathing,emergency_help
I have a headache and headache,symptom_check
Emergency! My father is difficulty breathing,emergency_help
My mother has a fever,symptom_check
Is sugar good for anemia?,diet_advice
"Experiencing nausea, dizziness, and headache",symptom_check
What's the dose for amoxicillin?,medication_info
I'm having a seizure,emergency_help
Feeling nausea and headache,symptom_check
I want to meet a neurologist this week,appointment_booking
What should a hypertension patient eat?,diet_advice
"Severe chills, what to do?",emergency_help
Feeling headache and sore throat,symptom_check
Need to see a dermatologist soon,appointment_booking
I'm having a seizure,emergency_help
Emergency! My child is seizure,emergency_help
"Can't breathe properly, urgent help",emergency_help
What should I take for dizziness?,medication_info
Can I take ibuprofen with paracetamol?,medication_info
Can I take amoxicillin with ibuprofen?,medication_info
What's the dose for amoxicillin?,medication_info
Schedule a visit to the neurologist,appointment_booking
Is it safe to use cetirizine every day?,medication_info
"Experiencing chills, chills, and headache",symptom_check
Book an appointment with a dentist,appointment_booking
Feeling fever and chills,symptom_check
Feeling headache and headache,symptom_check
"Need immediate help, I'm difficulty breathing",emergency_help
Schedule a visit to the dermatologist,appointment_booking
What foods to avoid if I have hypertension?,diet_advice
"Need immediate help, I'm difficulty breathing",emergency_help
"Can't breathe properly, urgent help",emergency_help
I want to meet a cardiologist this week,appointment_booking
Emergency! My child is seizure,emergency_help
Emergency! My child is seizure,emergency_help
Suffering from dizziness lately,symptom_check
Can I take ibuprofen with paracetamol?,medication_info
Can you book me a neurologist appointment?,appointment_booking
Can you book me a general physician appointment?,appointment_booking
What should a obesity patient eat?,diet_advice
I'm having a unconscious,emergency_help
Can I take cetirizine with ibuprofen?,medication_info
What foods to avoid if I have pregnancy?,diet_advice
Is rice good for diabetes?,diet_advice
"Experiencing headache, dizziness, and dizziness",symptom_check
What's the dose for aspirin?,medication_info
Is rice good for hypertension?,diet_advice
"Severe sore throat, what to do?",emergency_help
Feeling cough and cough,symptom_check
What should I take for dizziness?,medication_info
I'm having a seizure,emergency_help
Can I take ibuprofen with ibuprofen?,medication_info
Can I take ibuprofen with cetirizine?,medication_info
Can cetirizine be taken on an empty stomach?,medication_info
Give me a healthy diet for diabetes,diet_advice
Is it safe to use aspirin every day?,medication_info
Need to see a dermatologist soon,appointment_booking
Schedule a visit to the dentist,appointment_booking
What foods to avoid if I have hypertension?,diet_advice
Can you book me a general physician appointment?,appointment_booking
What should a anemia patient eat?,diet_advice
Is rice good for hypertension?,diet_advice
Suggest foods for obesity,diet_advice
Book an appointment with a neurologist,appointment_booking
Emergency! My mother is chest pain,emergency_help
Can amoxicillin be taken on an empty stomach?,medication_info
Schedule a visit to the dermatologist,appointment_booking
Give me a healthy diet for anemia,diet_advice
"Experiencing sore throat, dizziness, and fever",symptom_check
I have a sore throat and nausea,symptom_check
Feeling chills and headache,symptom_check
My sibling has a fever,symptom_check
Give me a healthy diet for diabetes,diet_advice
Book an appointment with a dermatologist,appointment_booking
What foods to avoid if I have anemia?,diet_advice
I want to meet a cardiologist this week,appointment_booking
"Experiencing cough, sore throat, and dizziness",symptom_check
Book an appointment with a dentist,appointment_booking
Schedule a visit to the dermatologist,appointment_booking
Suffering from nausea lately,symptom_check
My mother has a headache,symptom_check
I want to meet a general physician this week,appointment_booking
What should a pregnancy patient eat?,diet_advice
Is bread good for hypertension?,diet_advice
I'm having a difficulty breathing,emergency_help
What's the dose for ibuprofen?,medication_info
Can aspirin be taken on an empty stomach?,medication_info
Emergency! My child is unconscious,emergency_help
Need to see a cardiologist soon,appointment_booking
What's the dose for ibuprofen?,medication_info
What foods to avoid if I have pregnancy?,diet_advice
What should I take for headache?,medication_info
Can I take paracetamol with ibuprofen?,medication_info
Is spinach good for diabetes?,diet_advice
Give me a healthy diet for anemia,diet_advice
My friend has a cough,symptom_check
Suffering from dizziness lately,symptom_check
Feeling cough and fever,symptom_check
My father has a sore throat,symptom_check
"Can't breathe properly, urgent help",emergency_help
"Severe fever, what to do?",emergency_help
Need to see a cardiologist soon,appointment_booking
Feeling cough and sore throat,symptom_check
What should a anemia patient eat?,diet_advice
Feeling cough and nausea,symptom_check
Emergency! My child is unconscious,emergency_help
Suffering from headache lately,symptom_check
Is rice good for pregnancy?,diet_advice
"Need immediate help, I'm chest pain",emergency_help
Is it safe to use amoxicillin every day?,medication_info
